,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
37,2009-08-26,RUSSIAN FEDERATION,CARRETERA,ECUADOR,22440.0,1540.0,66000.0
38,2009-08-03,BELARUS,MARITIMO,ECUADOR,1274872.5,270000.0,5400000.0
39,2009-09-02,RUSSIAN FEDERATION,CARRETERA,ECUADOR,30600.0,2310.0,210000.0
40,2009-09-08,RUSSIAN FEDERATION,CARRETERA,ECUADOR,22440.0,1540.0,66000.0
41,2009-09-09,RUSSIAN FEDERATION,CARRETERA,ECUADOR,10245.0,770.0,120000.0
42,2009-09-17,RUSSIAN FEDERATION,CARRETERA,ECUADOR,61110.0,4620.0,180000.0
43,2009-09-14,RUSSIAN FEDERATION,CARRETERA,ECUADOR,20490.0,1540.0,60000.0
44,2009-08-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,4049258.0,778890.5,16210000.0
45,2009-09-23,RUSSIAN FEDERATION,CARRETERA,ECUADOR,30330.0,2310.0,90000.0
46,2009-09-23,RUSSIAN FEDERATION,CARRETERA,ECUADOR,20520.0,1538.72,90000.0
47,2009-09-25,RUSSIAN FEDERATION,CARRETERA,ECUADOR,30330.0,2310.0,90000.0
48,2009-09-18,LATVIA,CARRETERA,ECUADOR,2769.75,3.58,92700.0
49,2009-09-18,LATVIA,CARRETERA,ECUADOR,55393.68,71.54,3812384.6063829786
50,2009-10-06,RUSSIAN FEDERATION,CARRETERA,ECUADOR,40444.0,5000.0,120000.0
51,2009-10-06,RUSSIAN FEDERATION,CARRETERA,ECUADOR,10140.0,770.0,30000.0
52,2009-10-09,RUSSIAN FEDERATION,CARRETERA,ECUADOR,60840.0,4620.0,180000.0
53,2009-10-06,RUSSIAN FEDERATION,CARRETERA,ECUADOR,22327.8,1540.0,66000.0
54,2009-10-14,RUSSIAN FEDERATION,CARRETERA,ECUADOR,20580.0,1538.72,90000.0
55,2009-09-07,CHINA,MARITIMO,ECUADOR,3681291.75,419373.5,11982100.0
56,2009-10-20,RUSSIAN FEDERATION,CARRETERA,ECUADOR,2611.75,198.92,60000.0
