,FECHA,PAIS ORIGEN,FOB U$S,TOTAL KGS NETO
224,2011-12-06,CHINA,261250.0,500000.0
225,2011-12-10,CHINA,50348.05,102492.0
226,2011-12-03,CHINA,503184.62,1020744.0
227,2011-12-20,CHINA,272380.62,546750.0
228,2011-12-28,CHINA,59798.27,121500.0
229,2011-12-28,CHINA,272480.62,546750.0
230,2011-12-15,CHINA,8698.35,19996.2
231,2012-02-13,UKRAINE,1358280.0,3300000.0
232,2012-02-13,UKRAINE,838420.0,2200000.0
233,2012-02-24,RUSSIAN FEDERATION,162901.06,329000.0
234,2012-03-17,VENEZUELA,7260295.0,16500671.0
235,2012-03-17,UKRAINE,3697686.75,9100000.0
236,2012-04-02,RUSSIAN FEDERATION,361213.44,749250.0
237,2012-04-25,GERMANY,121.31,973.58
238,2012-04-05,RUSSIAN FEDERATION,347835.16,721500.0
239,2012-04-22,VENEZUELA,8908340.0,16496925.0
240,2012-06-16,UKRAINE,1821039.0,3300000.0
241,2012-05-29,RUSSIAN FEDERATION,126198.0,350550.0
242,2012-06-16,UKRAINE,1215874.0,2200000.0
243,2012-06-18,UKRAINE,1149500.0,2200000.0
244,2012-06-18,UKRAINE,519750.0,1100000.0
245,2012-06-18,UKRAINE,1581750.0,3700000.0
246,2012-06-09,RUSSIAN FEDERATION,133329.59,370360.0
247,2012-06-13,RUSSIAN FEDERATION,125856.0,349600.0
248,2012-06-18,UKRAINE,1567500.0,3000000.0
249,2012-07-09,RUSSIAN FEDERATION,213532.0,506000.0
250,2012-07-09,RUSSIAN FEDERATION,230649.98,506000.0
251,2012-08-04,GERMANY,153.17,641.6
252,2012-07-15,RUSSIAN FEDERATION,10572.55,29450.0
253,2012-07-27,UKRAINE,2066939.5,4266305.0
254,2012-07-11,UKRAINE,1495857.0,3300000.0
255,2012-07-27,UKRAINE,1601231.12,3300000.0
256,2012-07-27,VENEZUELA,5672901.0,13192793.0
257,2012-07-28,RUSSIAN FEDERATION,222669.41,489600.0
258,2012-07-29,RUSSIAN FEDERATION,193392.0,489600.0
259,2012-07-28,CHINA,28200.0,60000.0
260,2012-07-27,UKRAINE,1276000.0,2750000.0
261,2012-08-07,RUSSIAN FEDERATION,266243.12,509250.0
262,2012-08-11,RUSSIAN FEDERATION,432481.5,990000.0
263,2012-08-18,RUSSIAN FEDERATION,436800.19,999880.0
264,2012-08-11,CHINA,10661.7,21200.0
265,2012-08-26,FINLAND,1424333.0,3200000.0
266,2012-08-26,FINLAND,1366500.0,3000000.0
267,2012-08-18,RUSSIAN FEDERATION,225184.5,500000.0
268,2012-08-26,RUSSIAN FEDERATION,863500.0,2200000.0
269,2012-08-26,UKRAINE,633000.0,1500000.0
270,2012-08-23,VENEZUELA,6087446.5,14847431.0
271,2012-09-01,RUSSIAN FEDERATION,162889.16,499660.0
272,2012-09-01,RUSSIAN FEDERATION,272107.03,519750.0
273,2012-09-08,RUSSIAN FEDERATION,9304.9,22000.0
274,2012-10-06,UKRAINE,553005.0,12097816.666666666
275,2012-10-06,UKRAINE,2765025.0,12097816.666666666
276,2012-10-25,VENEZUELA,6698387.5,14107377.205384614
277,2012-10-27,RUSSIAN FEDERATION,1287000.0,2421501.913043478
278,2012-09-13,CHINA,241000.0,1183290.1256880735
279,2012-09-13,CHINA,260400.0,1183290.1256880735
280,2012-11-09,RUSSIAN FEDERATION,4020720.0,3525985.777777778
281,2012-10-22,CHINA,97800.0,1449536.971291866
282,2012-10-27,RUSSIAN FEDERATION,1060000.0,679720.245614035
283,2012-11-09,RUSSIAN FEDERATION,100224.0,613160.5563636364
284,2012-11-09,RUSSIAN FEDERATION,6961680.0,12097816.666666666
285,2012-11-03,RUSSIAN FEDERATION,196876.69,449310.15555555554
286,2012-11-09,RUSSIAN FEDERATION,811800.0,1789050.560509554
287,2012-11-25,VENEZUELA,6431287.0,14107377.205384614
288,2012-11-17,RUSSIAN FEDERATION,270105.0,1449536.971291866
289,2012-11-19,RUSSIAN FEDERATION,196876.69,449310.15555555554
290,2012-11-30,INDONESIA,222794.0,550000.0
291,2012-12-08,PERU,153291.84,312000.0
292,2012-12-16,RUSSIAN FEDERATION,282403.62,637480.0
293,2012-12-30,INDONESIA,133980.0,348000.0
294,2012-12-30,UNITED STATES,870812.12,2099000.0
295,2012-12-30,INDONESIA,1203537.88,2901000.0
296,2012-12-30,PERU,794500.0,2000000.0
297,2012-12-31,RUSSIAN FEDERATION,279407.03,528000.0
298,2013-01-23,PERU,516652.41,1300104.0
299,2013-01-21,RUSSIAN FEDERATION,259584.0,691200.0
300,2013-01-18,MALAYSIA,212330.0,1015000.0
301,2013-01-18,INDONESIA,77060.0,1789050.560509554
302,2012-12-07,RUSSIAN FEDERATION,6731180.0,16625.38
303,2013-02-10,INDONESIA,933322.5,2250000.0
304,2013-01-28,UNITED STATES,18214.0,87000.0
305,2013-01-28,CHINA,18214.0,1789050.560509554
306,2013-01-31,RUSSIAN FEDERATION,95473.23,184800.0
307,2013-02-10,PERU,1876331.25,6300000.0
308,2013-02-10,CHINA,756900.0,2421501.913043478
309,2013-02-10,UNITED STATES,228686.09,1093650.0
310,2013-02-10,UNITED STATES,228686.09,1789050.560509554
311,2013-02-15,UNITED STATES,280252.69,554100.0
312,2013-02-27,UNITED STATES,286284.66,658050.0
313,2012-03-13,MALAYSIA,547250.0,1100000.0
314,2013-03-09,RUSSIAN FEDERATION,99.36,1518.18
315,2012-03-13,CHINA,1463381.62,8800000.0
316,2012-03-13,MALAYSIA,1473559.88,2421501.913043478
317,2012-03-13,INDONESIA,1483767.88,2421501.913043478
318,2012-03-13,INDONESIA,1001000.0,2200.0
319,2013-03-20,PERU,269184.91,587740.0
321,2013-04-26,INDONESIA,35.73,9066.13
322,2013-05-05,PERU,213996.28,517900.0
323,2013-04-30,INDONESIA,514545.19,33830.0
324,2013-05-05,INDONESIA,194052.66,1079390.0
325,2013-05-05,PERU,221860.39,1789050.560509554
326,2013-05-23,RUSSIAN FEDERATION,35.81,6154.51
329,2013-05-12,RUSSIAN FEDERATION,5049148.5,12052526.0
330,2013-05-29,RUSSIAN FEDERATION,27160.0,56000.0
331,2013-06-20,RUSSIAN FEDERATION,572440.44,33930.0
332,2013-07-04,UNITED STATES,35.68,4094.28
333,2013-05-05,UNITED STATES,10899.29,28290.0
334,2013-07-11,RUSSIAN FEDERATION,70.73,3933.66
335,2013-07-17,CHINA,178007.02,497400.0
336,2013-08-07,UNITED STATES,173.96,316.59
337,2013-07-20,PERU,214384.31,538875.0
338,2013-07-22,PERU,190602.0,529450.0
340,2013-07-28,INDONESIA,468633.59,33350.0
342,2013-08-01,RUSSIAN FEDERATION,167587.0,409500.0
343,2013-07-27,UNITED STATES,191540.0,1098000.0
344,2013-07-27,PERU,193060.0,1789050.560509554
345,2013-08-04,MALAYSIA,178702.0,484600.0
346,2013-08-08,UNITED STATES,104.63,3098.61
347,2013-08-07,MALAYSIA,32577.18,100000.0
348,2013-08-07,UNITED STATES,32577.18,100000.0
349,2013-08-02,UNITED STATES,179911.59,527600.0
350,2013-08-02,UNITED STATES,72500.0,200000.0
351,2013-08-13,PERU,58184.0,140000.0
352,2013-08-18,INDONESIA,180370.41,434000.0
353,2013-08-18,CHINA,111000.0,300000.0
354,2013-08-16,RUSSIAN FEDERATION,128742.5,408500.0
355,2013-08-24,PERU,32577.18,100000.0
356,2013-08-22,CHINA,66150.0,210000.0
357,2013-09-11,CHINA,152966.34,459000.0
358,2013-09-01,UNITED STATES,202420.0,540000.0
359,2013-08-31,UNITED STATES,3198949.5,10499048.0
360,2013-08-31,RUSSIAN FEDERATION,558442.5,12097816.666666666
361,2013-08-24,PERU,32577.18,100000.0
362,2013-09-08,MALAYSIA,553413.5,33520.0
363,2013-09-08,PERU,1662980.0,4400000.0
364,2013-09-08,MALAYSIA,1634779.25,4325385.0
365,2013-09-17,MALAYSIA,80090.0,210000.0
366,2013-09-22,MALAYSIA,184243.95,513000.0
367,2013-09-20,UNITED STATES,118400.0,320000.0
368,2013-09-26,PERU,160950.0,436740.0
369,2013-09-26,UNITED STATES,52170.0,141564.0
370,2012-10-06,MALAYSIA,553005.0,1500000.0
371,2013-10-14,PERU,118308.6,324000.0
