,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
1586,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-07-28,CHINA,MARITIMO,ECUADOR,19831.5,1684.36,1084100.0109375
1587,FERTISA AGIF C.L.,2020-08-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,282377.97,13135.0,1094400.0
1588,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-08-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,275245.97,12768.7,1073000.0
1589,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-08-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,245489.64,11388.3,957000.0
1590,FITO SANITARIO FITOSAN S.A.,2020-08-14,CHINA,MARITIMO,ECUADOR,75548.6,8100.0,280700.0
1591,FERTISA AGIF C.L.,2020-08-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,274946.97,12790.0,1065600.0
1592,INDUSTRIAS DE MINERALES LA COLINA INDUCOLINA CIA. LTDA.,2020-09-06,RUSSIAN FEDERATION,MARITIMO,ECUADOR,263422.0,12420.0,1037000.0
1593,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-09-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,258632.0,35750.0,1100000.0
1594,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-09-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,884932.5,117154.7,3604760.0
1595,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-09-07,ESTONIA,MARITIMO,ECUADOR,473725.0,61831.58,1902510.0
1596,FERTISA AGIF C.L.,2020-09-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,522550.47,58500.0,2068360.0
1597,SIGMAPLAST S.A.,2020-08-29,INDIA,MARITIMO,ECUADOR,307512.0,13848.0,312000.0
1598,INDUSTRIAS DE MINERALES LA COLINA INDUCOLINA CIA. LTDA.,2020-09-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,265284.0,12420.0,1044000.0
1599,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-09-14,RUSSIAN FEDERATION,MARITIMO,ECUADOR,108978.52,13770.0,406000.0
1600,AGRIPAC S.A.,2020-09-24,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1762867.5,323175.0,6950000.0
1604,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-09-18,CHINA,MARITIMO,ECUADOR,424570.59,48090.0,1603000.0
1605,FERTISA AGIF C.L.,2020-09-21,RUSSIAN FEDERATION,MARITIMO,ECUADOR,424625.94,17595.0,1479000.0
1606,SOLVESA ECUADOR S.A,2020-10-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,109115.1,13875.0,405000.0
1607,FERTISA AGIF C.L.,2020-09-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,416299.94,17275.0,1450000.0
1608,FERTISA AGIF C.L.,2020-09-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,416299.94,17275.0,1450000.0
1609,FERTISA AGIF C.L.,2020-10-07,BELARUS,MARITIMO,ECUADOR,424322.31,74250.0,1650610.0
1610,FERMAGRI S.A.,2020-10-22,CHINA,MARITIMO,ECUADOR,1086800.0,198000.0,4400000.0
1611,FERTISA AGIF C.L.,2020-10-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,316813.59,15909.0,1094400.0
1612,FERTISA AGIF C.L.,2020-10-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,316813.59,15909.0,1094400.0
1613,AGRIPAC S.A.,2020-10-22,BELARUS,MARITIMO,ECUADOR,188227.5,33750.0,2150000.0
1614,AGRIPAC S.A.,2020-10-22,BELARUS,MARITIMO,ECUADOR,350854.0,63000.0,3399980.392265193
1615,AGRIPAC S.A.,2020-10-22,BELGIUM,MARITIMO,ECUADOR,1380335.0,247500.0,5500000.0
1616,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-10-22,BELARUS,MARITIMO,ECUADOR,45776.96,8512.25,1529161.0
1617,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-10-22,BELARUS,MARITIMO,ECUADOR,324280.0,60300.0,1724185.5015576323
1618,SOLVESA ECUADOR S.A,2020-10-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,68112.0,3344.0,232000.0
1619,FERTISA AGIF C.L.,2020-10-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,347501.0,18417.0,1276000.0
1620,FERMAGRI S.A.,2020-10-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,150512.64,16710.0,492000.0
1621,SOLVESA ECUADOR S.A,2020-10-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,51084.0,2508.0,174000.0
1622,AGRIPAC S.A.,2020-10-27,RUSSIAN FEDERATION,MARITIMO,ECUADOR,3335417.25,684750.0,13895000.0
1623,AGRIPAC S.A.,2020-10-27,RUSSIAN FEDERATION,MARITIMO,ECUADOR,48710.0,10000.0,3399980.392265193
1624,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-10-27,RUSSIAN FEDERATION,MARITIMO,ECUADOR,893000.0,190000.0,3800000.0
1625,FERMAGRI S.A.,2020-10-27,CHINA,MARITIMO,ECUADOR,1086750.0,225000.0,4500000.0
1626,FERTISA AGIF C.L.,2020-10-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,316813.59,15909.0,1094400.0
1627,FERMAGRI S.A.,2020-10-30,RUSSIAN FEDERATION,MARITIMO,ECUADOR,145435.5,16797.42,486000.0
1628,FERTISA AGIF C.L.,2020-10-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,339603.25,17999.0,1247000.0
1629,FERTISA AGIF C.L.,2020-10-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,347501.0,18417.0,1276000.0
1630,SOLVESA ECUADOR S.A,2020-11-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,55905.12,7598.88,216000.0
1631,FERMAGRI S.A.,2020-11-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,466000.0,84000.0,2000000.0
1632,FERMAGRI S.A.,2020-11-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,720000.0,126000.0,3000000.0
1633,FERMAGRI S.A.,2020-11-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,3378500.0,609000.0,14500000.0
1634,DIAZ DIAZ YLVIA DE JESUS,2020-12-21,PERU,CARRETERA,ECUADOR,20864.0,1600.0,64000.0
1635,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-12-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,62497.57,8313.64,945000.0
1636,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-12-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,62153.83,8313.64,1724185.5015576323
1637,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-12-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,61810.09,8313.64,1724185.5015576323
