,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO,LATITUDE,LONGITUDE,NAME,TEMP,PRCP
1766,FERMAGRI S.A.,2023-06-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,576786.0,43794.817980769236,2100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
1767,HECTOR FERNANDO YUMISACA VIMOS,2023-06-21,CHINA,MARITIMO,ECUADOR,11760.0,1014.67,28000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.1,0.0
1768,PRECISAGRO S.A.,2023-08-31,CHINA,MARITIMO,ECUADOR,143376.3,60048.74543799773,290400.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.7,0.0
1769,PRECISAGRO S.A.,2023-09-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,111437.37,60048.74543799773,297000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.5,0.0
1770,PRECISAGRO S.A.,2023-09-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,111437.37,60048.74543799773,297000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1771,PRECISAGRO S.A.,2023-09-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,67069.77,60048.74543799773,294000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.0,0.0
1772,PRECISAGRO S.A.,2023-09-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,54649.65,60048.74543799773,2764157.8,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.0,0.0
1773,AGRIPAC S.A.,2023-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1476592.75,112730.76932515336,4080000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1774,AGRIPAC S.A.,2023-08-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1088580.0,112730.76932515336,3000000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.7,0.0
1775,AGRIPAC S.A.,2023-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,436208.09,112730.76932515336,3064000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1776,AGRIPAC S.A.,2023-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,819940.0,112730.76932515336,3399980.392265193,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1777,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,431971.59,49483.8138170347,1206692.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1778,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1073940.0,49483.8138170347,3219880.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.0
1779,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,78712.64,49483.8138170347,1724185.5015576323,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.0
1780,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,24987.0,49483.8138170347,3079918.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1781,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,506183.72,49483.8138170347,1724185.5015576323,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1782,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-09-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,571378.31,49483.8138170347,1724185.5015576323,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.8,0.0
1783,BRENNTAG ECUADOR S.A.,2023-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1394712.0,32111.520714285714,3300680.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.0
1784,BRENNTAG ECUADOR S.A.,2023-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,286.39,32111.520714285714,1315428.6666666667,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.0
1785,SOLVESA ECUADOR S.A,2023-08-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,196889.0,17288.583711340205,550000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.7,0.0
1786,AGRIPAC S.A.,2023-08-29,CHINA,MARITIMO,ECUADOR,1171830.0,112730.76932515336,3000000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.8,0.0
1787,FERMAGRI S.A.,2023-08-18,FINLAND,MARITIMO,ECUADOR,390000.0,43794.817980769236,1000000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.0
1788,PRECISAGRO S.A.,2023-08-25,FINLAND,MARITIMO,ECUADOR,367906.0,60048.74543799773,2625000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.7,0.0
1789,PRECISAGRO S.A.,2023-08-25,FINLAND,MARITIMO,ECUADOR,367906.0,60048.74543799773,2764157.8,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.7,0.0
1790,PRECISAGRO S.A.,2023-08-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,527674.5,60048.74543799773,3900000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.8,0.0
1791,ROGEL JIMENEZ JAIME ENRIQUE,2023-11-06,PERU,CARRETERA,ECUADOR,3675.0,350.0,32000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.0,0.0
1792,FERTISA AGIF C.L.,2023-09-30,INDONESIA,MARITIMO,ECUADOR,909964.0,83380.54394366198,2200000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1793,AGRIPAC S.A.,2023-09-30,INDONESIA,MARITIMO,ECUADOR,4000000.0,112730.76932515336,11500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1794,AGRIPAC S.A.,2023-09-30,INDONESIA,MARITIMO,ECUADOR,600000.0,112730.76932515336,3399980.392265193,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1795,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-09-30,INDONESIA,MARITIMO,ECUADOR,545610.69,49483.8138170347,4101199.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1796,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-09-30,INDONESIA,MARITIMO,ECUADOR,555547.62,49483.8138170347,1724185.5015576323,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1797,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-09-30,INDONESIA,MARITIMO,ECUADOR,550449.88,49483.8138170347,1724185.5015576323,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,0.0
1798,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2023-10-02,EGYPT,MARITIMO,ECUADOR,188093.62,23210.70588235294,455120.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.0,0.0
1799,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2023-10-02,EGYPT,MARITIMO,ECUADOR,93502.33,23210.70588235294,606260.7457142858,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.0,0.0
1800,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2023-10-02,EGYPT,MARITIMO,ECUADOR,70448.48,23210.70588235294,113860.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",80.0,0.0
1801,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-10-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1289162.38,49483.8138170347,3373093.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.9,0.0
1802,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-10-14,RUSSIAN FEDERATION,MARITIMO,ECUADOR,411323.0,49483.8138170347,1100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.1,0.0
1803,PRECISAGRO S.A.,2023-10-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,732015.0,60048.74543799773,3649848.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.3,0.0
1804,PRECISAGRO S.A.,2023-10-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,425223.0,60048.74543799773,2764157.8,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.3,0.0
1805,PRECISAGRO S.A.,2023-10-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,16213.64,60048.74543799773,2764157.8,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.3,0.0
1806,PRECISAGRO S.A.,2023-10-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,3.78,60048.74543799773,2764157.8,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.3,0.0
1807,FERMAGRI S.A.,2023-10-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,429720.69,43794.817980769236,1124364.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.9,0.0
1808,SOLVESA ECUADOR S.A,2023-10-14,RUSSIAN FEDERATION,MARITIMO,ECUADOR,430012.0,17288.583711340205,1100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.1,0.0
