"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2019","263.00","263.00","263.00","263.00","","0.57%"
"08/16/2019","261.50","261.50","261.50","261.50","","0.00%"
"08/15/2019","261.50","261.50","261.50","261.50","0.05K","-0.57%"
"08/14/2019","263.00","263.00","263.00","263.00","0.05K","0.19%"
"08/13/2019","262.50","262.50","262.50","262.50","","0.38%"
"08/12/2019","261.50","261.50","261.50","261.50","","0.00%"
"08/09/2019","261.50","261.50","261.50","261.50","","-0.57%"
"08/08/2019","263.00","263.00","263.00","263.00","0.05K","-0.19%"
"08/07/2019","263.50","263.50","263.50","263.50","","-0.94%"
"08/06/2019","266.00","266.00","266.00","266.00","0.15K","-0.75%"
"08/05/2019","268.00","268.00","268.00","268.00","","-1.29%"
"08/02/2019","271.50","271.50","271.50","271.50","0.15K","0.18%"
"08/01/2019","271.00","271.00","271.00","271.00","0.20K","0.93%"
"07/31/2019","268.50","268.50","268.50","268.50","0.05K","-2.89%"
"07/30/2019","276.50","276.50","276.50","276.50","","-0.72%"
"07/29/2019","278.50","278.50","278.50","278.50","","0.91%"
"07/26/2019","276.00","276.00","276.00","276.00","0.05K","-3.16%"
"07/25/2019","285.00","285.00","285.00","285.00","","0.09%"
"07/24/2019","284.75","284.75","284.75","284.75","","0.00%"
"07/23/2019","284.75","284.75","284.75","284.75","","0.00%"
"07/22/2019","284.75","284.75","284.75","284.75","","0.00%"
"07/19/2019","284.75","284.75","284.75","284.75","","0.09%"
"07/18/2019","284.50","284.50","284.50","284.50","","0.00%"
"07/17/2019","284.50","284.50","284.50","284.50","","0.00%"
"07/16/2019","284.50","284.50","284.50","284.50","","0.00%"
"07/15/2019","284.50","284.50","284.50","284.50","","-0.87%"
"07/12/2019","287.00","287.00","287.00","287.00","","0.53%"
"07/11/2019","285.50","285.50","285.50","285.50","","-0.52%"
"07/10/2019","287.00","287.00","287.00","287.00","","0.35%"
"07/09/2019","286.00","286.00","286.00","286.00","0.15K","0.70%"
"07/08/2019","284.00","284.00","284.00","284.00","0.15K","1.07%"
"07/05/2019","281.00","281.00","281.00","281.00","","0.18%"
"07/03/2019","280.50","280.50","280.50","280.50","","0.00%"
"07/02/2019","280.50","280.50","280.50","280.50","","0.18%"
"07/01/2019","280.00","280.00","280.00","280.00","0.10K","-2.78%"
"06/28/2019","288.00","288.00","288.00","288.00","","0.88%"
"06/27/2019","285.50","285.50","285.50","285.50","","0.09%"
"06/26/2019","285.25","285.25","285.25","285.25","","0.00%"
"06/25/2019","285.25","285.25","285.25","285.25","","0.00%"
"06/24/2019","285.25","285.25","285.25","285.25","","0.00%"
"06/21/2019","285.25","285.25","285.25","285.25","","0.09%"
"06/20/2019","285.00","285.00","285.00","285.00","","0.00%"
"06/19/2019","285.00","285.00","285.00","285.00","","0.00%"
"06/18/2019","285.00","285.00","285.00","285.00","","0.00%"
"06/17/2019","285.00","285.00","285.00","285.00","","-0.18%"
"06/14/2019","285.50","285.50","285.50","285.50","","0.00%"
"06/13/2019","285.50","285.50","285.50","285.50","","-0.17%"
"06/12/2019","286.00","286.00","286.00","286.00","0.05K","0.53%"
"06/11/2019","284.50","284.50","284.50","284.50","","0.53%"
"06/10/2019","283.00","283.00","283.00","283.00","","0.00%"
"06/07/2019","283.00","283.00","283.00","283.00","","0.18%"
"06/06/2019","282.50","282.50","282.50","282.50","","-0.53%"
"06/05/2019","284.00","284.00","284.00","284.00","","-0.87%"
"06/04/2019","286.50","286.50","286.50","286.50","0.05K","1.42%"
"06/03/2019","282.50","282.50","282.50","282.50","","0.53%"
"05/31/2019","281.00","281.00","281.00","281.00","0.05K","2.74%"
"05/30/2019","273.50","273.50","273.50","273.50","","0.55%"
"05/29/2019","272.00","272.00","272.00","272.00","","0.00%"
"05/28/2019","272.00","272.00","272.00","272.00","","0.00%"
"05/24/2019","272.00","272.00","272.00","272.00","","0.46%"
"05/23/2019","270.75","270.75","270.75","270.75","","0.00%"
"05/22/2019","270.75","270.75","270.75","270.75","","0.00%"
"05/21/2019","270.75","270.75","270.75","270.75","","0.00%"
"05/20/2019","270.75","270.75","270.75","270.75","","0.28%"
"05/17/2019","270.00","270.00","270.00","270.00","","-0.18%"
"05/16/2019","270.50","270.50","270.50","270.50","","-1.28%"
"05/15/2019","274.00","274.00","274.00","274.00","","-0.18%"
"05/14/2019","274.50","274.50","274.50","274.50","","0.00%"
"05/13/2019","274.50","274.50","274.50","274.50","","0.00%"
"05/10/2019","274.50","274.50","274.50","274.50","","-0.18%"
"05/09/2019","275.00","275.00","275.00","275.00","","0.00%"
"05/08/2019","275.00","275.00","275.00","275.00","","0.36%"
"05/07/2019","274.00","274.00","274.00","274.00","","0.00%"
"05/06/2019","274.00","274.00","274.00","274.00","","0.92%"
"05/03/2019","271.50","271.50","271.50","271.50","","0.00%"
"05/02/2019","271.50","271.50","271.50","271.50","","0.93%"
"05/01/2019","269.00","269.00","269.00","269.00","","-0.74%"
"04/30/2019","271.00","271.00","271.00","271.00","","-0.18%"
"04/29/2019","271.50","271.50","271.50","271.50","","-0.18%"
"04/26/2019","272.00","272.00","272.00","272.00","","8.37%"
"04/25/2019","251.00","251.00","251.00","251.00","","0.90%"
"04/24/2019","248.75","248.75","248.75","248.75","","0.00%"
"04/23/2019","248.75","248.75","248.75","248.75","","1.02%"
"04/22/2019","246.25","246.25","246.25","246.25","","0.10%"
"04/18/2019","246.00","246.00","246.00","246.00","","0.00%"
"04/17/2019","246.00","246.00","246.00","246.00","","0.00%"
"04/16/2019","246.00","246.00","246.00","246.00","","0.00%"
"04/15/2019","246.00","246.00","246.00","246.00","","-0.40%"
"04/12/2019","247.00","247.00","247.00","247.00","","0.00%"
"04/11/2019","247.00","247.00","247.00","247.00","","-0.60%"
"04/10/2019","248.50","248.50","248.50","248.50","","-0.20%"
"04/09/2019","249.00","249.00","249.00","249.00","","1.22%"
"04/08/2019","246.00","246.00","246.00","246.00","","0.41%"
"04/05/2019","245.00","245.00","245.00","245.00","","0.00%"
"04/04/2019","245.00","245.00","245.00","245.00","","0.20%"
"04/03/2019","244.50","244.50","244.50","244.50","","-0.61%"
"04/02/2019","246.00","246.00","246.00","246.00","","-0.61%"
"04/01/2019","247.50","247.50","247.50","247.50","","1.64%"
"03/29/2019","243.50","243.50","243.50","243.50","0.05K","3.84%"
"03/28/2019","234.50","234.50","234.50","234.50","","0.64%"
"03/27/2019","233.00","233.00","233.00","233.00","","-0.11%"
"03/26/2019","233.25","233.25","233.25","233.25","","0.00%"
"03/25/2019","233.25","233.25","233.25","233.25","","0.11%"
"03/22/2019","233.00","233.00","233.00","233.00","","-0.11%"
"03/21/2019","233.25","233.25","233.25","233.25","","0.00%"
"03/20/2019","233.25","233.25","233.25","233.25","","0.00%"
"03/19/2019","233.25","233.25","233.25","233.25","","0.00%"
"03/18/2019","233.25","233.25","233.25","233.25","","-0.11%"
"03/15/2019","233.50","233.50","233.50","233.50","","0.00%"
"03/14/2019","233.50","233.50","233.50","233.50","","0.00%"
"03/13/2019","233.50","233.50","233.50","233.50","","0.00%"
"03/12/2019","233.50","233.50","233.50","233.50","","1.08%"
"03/11/2019","231.00","231.00","231.00","231.00","","0.00%"
"03/08/2019","231.00","231.00","231.00","231.00","","-1.07%"
"03/07/2019","233.50","233.50","233.50","233.50","","0.00%"
"03/06/2019","233.50","233.50","233.50","233.50","","-1.89%"
"03/05/2019","238.00","238.00","238.00","238.00","","0.00%"
"03/04/2019","238.00","238.00","238.00","238.00","","-0.21%"
"03/01/2019","238.50","238.50","238.50","238.50","","-3.34%"
"02/28/2019","246.75","246.75","246.75","246.75","","-1.69%"
"02/27/2019","251.00","251.00","251.00","251.00","","0.00%"
"02/26/2019","251.00","251.00","251.00","251.00","","0.00%"
"02/25/2019","251.00","251.00","251.00","251.00","","0.40%"
"02/22/2019","250.00","250.00","250.00","250.00","","-2.34%"
"02/21/2019","256.00","256.00","256.00","256.00","","0.00%"
"02/20/2019","256.00","256.00","256.00","256.00","","0.00%"
"02/19/2019","256.00","256.00","256.00","256.00","","0.00%"
"02/15/2019","256.00","256.00","256.00","256.00","","0.39%"
"02/14/2019","255.00","255.00","255.00","255.00","","0.00%"
"02/13/2019","255.00","255.00","255.00","255.00","","0.59%"
"02/12/2019","253.50","253.50","253.50","253.50","","-1.55%"
"02/11/2019","257.50","257.50","257.50","257.50","","0.00%"
"02/08/2019","257.50","257.50","257.50","257.50","","-0.39%"
"02/07/2019","258.50","258.50","258.50","258.50","","-0.96%"
"02/06/2019","261.00","261.00","261.00","261.00","","0.00%"
"02/05/2019","261.00","261.00","261.00","261.00","","-0.38%"
"02/04/2019","262.00","262.00","262.00","262.00","","0.00%"
"02/01/2019","262.00","262.00","262.00","262.00","","-6.76%"
"01/31/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/30/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/29/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/28/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/25/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/24/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/23/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/22/2019","281.00","281.00","281.00","281.00","","0.00%"
"01/18/2019","281.00","281.00","281.00","281.00","","-0.18%"
"01/17/2019","281.50","281.50","281.50","281.50","","0.00%"
"01/16/2019","281.50","281.50","281.50","281.50","","0.00%"
"01/15/2019","281.50","281.50","281.50","281.50","","-1.23%"
"01/14/2019","285.00","285.00","285.00","285.00","","-0.18%"
"01/11/2019","285.50","285.50","285.50","285.50","","-1.21%"
"01/10/2019","289.00","289.00","289.00","289.00","","0.87%"
"01/09/2019","286.50","286.50","286.50","286.50","","0.00%"
"01/08/2019","286.50","286.50","286.50","286.50","","-0.52%"
"01/07/2019","288.00","288.00","288.00","288.00","","0.52%"
"01/04/2019","286.50","286.50","286.50","286.50","","0.53%"
"01/03/2019","285.00","285.00","285.00","285.00","","0.18%"
"01/02/2019","284.50","284.50","284.50","284.50","","0.00%"
"12/31/2018","284.50","284.50","284.50","284.50","","-0.18%"
"12/28/2018","285.00","285.00","285.00","285.00","","-0.87%"
"12/27/2018","287.50","287.50","287.50","287.50","","0.35%"
"12/26/2018","286.50","286.50","286.50","286.50","","0.61%"
"12/24/2018","284.75","284.75","284.75","284.75","","0.00%"
"12/21/2018","284.75","284.75","284.75","284.75","","0.00%"
"12/20/2018","284.75","284.75","284.75","284.75","","-0.96%"
"12/19/2018","287.50","287.50","287.50","287.50","","0.00%"
"12/18/2018","287.50","287.50","287.50","287.50","","0.00%"
"12/17/2018","287.50","287.50","287.50","287.50","","-0.17%"
"12/14/2018","288.00","288.00","288.00","288.00","","0.00%"
"12/13/2018","288.00","288.00","288.00","288.00","","0.00%"
"12/12/2018","288.00","288.00","288.00","288.00","","-0.35%"
"12/11/2018","289.00","289.00","289.00","289.00","","0.00%"
"12/10/2018","289.00","289.00","289.00","289.00","","-0.34%"
"12/07/2018","290.00","290.00","290.00","290.00","","-0.34%"
"12/06/2018","291.00","291.00","291.00","291.00","","-0.51%"
"12/05/2018","292.50","292.50","292.50","292.50","","0.00%"
"12/04/2018","292.50","292.50","292.50","292.50","","-0.17%"
"12/03/2018","293.00","293.00","293.00","293.00","","0.34%"
"11/30/2018","292.00","292.00","292.00","292.00","","-8.10%"
"11/29/2018","317.75","317.75","317.75","317.75","","-1.78%"
"11/28/2018","323.50","323.50","323.50","323.50","","0.00%"
